"Enable Module?","Habilitar Módulo?"
"Show discount form?","Mostrar formulário de desconto?"
"Show comment field?","Mostrar campo de comentários?"
"Show Subscribe to Newsletter?","Mostrar assinatura do boletim informativo?"
"Order Comment","Comentário do pedido"
"Optional comment for this order","Comentário opcional para esta encomenda"
"Sign Up for Our Newsletter","Subscrever a nossa newsletter"
"Select a shipping method to see the available payment methods.","Selecione um método de envio para ver os métodos de pagamento disponíveis."
